id,name,country_code
68134_60507,DANIEL LUNDGAARD /  MADS VESTERGAARD,DEN
68221_59331,LIZZIE TOLMAN /  ESTELLE VAN LEEUWEN,ENG
68316,TAN JIA JIE,MAS
68317,KIRAN GEORGE,IND
68322,AYUSH SHETTY,IND
68337_67290,KRISTOFFER KOLDING /  METTE WERGE,DEN
68392,JUSTIN HOH,MAS
68479,HINA AKECHI,JPN
68532_89885,AMALIE CECILIE KUDSK /  SIGNE SCHULZ,DEN
68544_70762,THOM GICQUEL /  DELPHINE DELRUE,FRA
68555_99025,JULIA MEYER /  LEONA MICHALSKI,GER
68633_79658,LEO ROLLY CARNANDO /  BAGAS MAULANA,INA
68633_84786,LEO ROLLY CARNANDO /  DANIEL MARTHIN,INA
68681_56983,CHANG KO-CHI /  CHEN XIN-YUAN,TPE
68681_64300,CHANG KO-CHI /  LIN YEN YU,TPE
68681_77386,CHANG KO-CHI /  LEE CHIH CHEN,TPE
68681_79052,CHANG KO-CHI /  PO LI-WEI,TPE
68870,LAKSHYA SEN,IND
69006,CHRISTIAN ADINATA,INA
69012,GOH JIN WEI,MAS
69091,LAUREN LAM,USA
69093,PRIYANSHU RAJAWAT,IND
69194_95664,JOSHUA HURLBURT-YU /  RACHEL HONDERICH,CAN
69253,GIOVANNI TOTI,ITA
69313_87492,ASHITH SURYA /  AMRUTHA PRAMUTHESH,IND
69316_60909,JEPPE BAY /  LASSE MØLHEDE,DEN
69345,LE DUC PHAT,VIE
69360_50481,ALEX GREEN /  BRANDON ZHI HAO YAP,ENG
69393,TALIA NG,CAN
69393_91560,TALIA NG /  WEN YU ZHANG,CAN
69448_96514,LEE YANG /  WANG CHI-LIN,TPE
69463,PITCHAMON OPATNIPUTH,THA
69560_98187,HARIHARAN AMSAKARUNAN /  RUBAN KUMAR RETHINASABAPATHI,IND
69597_68284,BEH CHUN MENG /  GOH BOON ZHE,MAS
69619,GADDE RUTHVIKA SHIVANI,IND
69649_57457,FABRICIO FARIAS /  JAQUELINE LIMA,BRA
69649_78948,FABRICIO FARIAS /  DAVI SILVA,BRA
69712,ALVI WIJAYA CHAIRULLAH,INA
69810_63421,OLIVER BUTLER /  SAMUEL JONES,ENG
70028_92470,CHRISTOPHER GRIMLEY /  MATTHEW GRIMLEY,SCO
70042_68189,MAIKEN FRUERGAARD /  SARA THYGESEN,DEN
70079,ELIANA ZHANG,CAN
70219_62853,HUSSEIN ZAYAN SHAHEED ZAKI /  FATHIMATH NABAAHA ABDUL RAZZAQ,MDV
70371_64816,JULIE FINNE-IPSEN /  MAI SURROW,DEN
70399,JULIEN CARRAGGI,BEL
70443_52071,NUR MOHD AZRIYN AYUB AZRIYN /  TAN WEE KIONG,MAS
70465_56042,ANISANAYA KAMILA /  AZ ZAHRA DITYA RAMADHANI,INA
70651,AMALIE SCHULZ,DEN
70751_68595,ZHOU ZHI HONG /  YANG JIA YI,CHN
70824,RAVI RAVI,IND
70930,KIM GA EUN,KOR
71023_81609,YUKI FUKUSHIMA /  MAYU MATSUMOTO,JPN
71023_94519,YUKI FUKUSHIMA /  SAYAKA HIROTA,JPN
71132_69361,LORNA BODHA /  KOBITA DOOKHEE,MRI
71221,LUÍS ENRIQUE PEÑALVER,ESP
71285,ANNA TATRANOVA,FRA
71294_70093,WONG TIEN CI /  LIM CHIEW SIEN,MAS
71349_80918,MARCUS ELLIS /  LAUREN SMITH,ENG
71408,CHICO AURA DWI WARDOYO,INA
71612_59966,TREESA JOLLY /  GAYATRI GOPICHAND PULLELA,IND
71644_85896,ANNIE XU /  KERRY XU,USA
